XValue,YValue,ZValue,Number,Time,startNumber
1,02900004386902,5,26800012588501,8,72900009155273,1,05.11.2015 17:28:57,1
1,80200004577637,4,52600002288818,9,44200038909912,2,05.11.2015 17:28:57,1
1,53400003910065,4,68499994277954,9,15499973297119,3,05.11.2015 17:28:57,1
0,689999997615814,5,26800012588501,8,72900009155273,4,05.11.2015 17:28:57,1
-1,4539999961853,6,28000020980835,8,07900047302246,5,05.11.2015 17:28:57,1
-3,28200006484985,7,2480001449585,7,14400005340576,6,05.11.2015 17:28:57,1
-2,61500000953674,7,04899978637695,6,61700010299683,7,05.11.2015 17:28:57,1
-1,23099994659424,6,34700012207031,6,26900005340576,8,05.11.2015 17:28:57,1
-0,377999991178513,5,81699991226196,6,42600011825562,9,05.11.2015 17:28:57,1
0,314999997615814,5,40100002288818,7,51100015640259,10,05.11.2015 17:28:57,1
1,02900004386902,5,00799989700317,8,6230001449585,11,05.11.2015 17:28:57,1
1,66799998283386,4,7519998550415,9,29500007629395,12,05.11.2015 17:28:57,1
0,813000023365021,5,02500009536743,9,54100036621094,13,05.11.2015 17:28:57,1
1,02900004386902,5,90199995040894,9,13899993896484,14,05.11.2015 17:28:57,1
-2,91300010681152,6,8600001335144,8,19299983978271,15,05.11.2015 17:28:57,1
-2,82100009918213,6,9689998626709,6,88500022888184,16,05.11.2015 17:28:57,1
-0,850000023841858,6,0789999961853,6,57999992370605,17,05.11.2015 17:28:57,1
0,681999981403351,5,26800012588501,7,45900011062622,18,05.11.2015 17:28:57,1
1,48399996757507,4,8730001449585,8,22999954223633,19,05.11.2015 17:28:57,1
1,79900002479553,4,90799999237061,8,24199962615967,20,05.11.2015 17:28:57,1
1,5460000038147,4,68599987030029,8,39000034332275,21,05.11.2015 17:28:57,1
-0,662999987602234,5,73999977111816,8,42800045013428,22,05.11.2015 17:28:57,1
-3,90000009536743,7,21999979019165,8,26700019836426,23,05.11.2015 17:28:57,1
-3,17499995231628,7,09700012207031,7,81199979782104,24,05.11.2015 17:28:57,1
-0,293000012636185,5,80999994277954,7,72900009155273,25,05.11.2015 17:28:57,1
1,33599996566772,4,92000007629395,7,85200023651123,26,05.11.2015 17:28:57,1
1,6599999666214,4,69799995422363,8,00699996948242,27,05.11.2015 17:28:57,1
1,46399998664856,4,88299989700317,8,47999954223633,28,05.11.2015 17:28:57,1
1,02900004386902,5,05399990081787,7,78599977493286,29,05.11.2015 17:28:57,1
-1,73699998855591,6,28399991989136,7,3899998664856,30,05.11.2015 17:28:57,1
-4,49200010299683,7,77799987792969,7,5460000038147,31,05.11.2015 17:28:57,1
-3,26099991798401,7,13299989700317,6,97200012207031,32,05.11.2015 17:28:57,1
0,203999996185303,5,53200006484985,6,73099994659424,33,05.11.2015 17:28:57,1
2,0699999332428,4,21600008010864,8,89700031280518,34,05.11.2015 17:28:57,1
2,89100003242493,3,7739999294281,10,3529996871948,35,05.11.2015 17:28:57,1
2,8529999256134,4,42199993133545,9,62199974060059,36,05.11.2015 17:28:57,1
0,662000000476837,5,07299995422363,8,84500026702881,37,05.11.2015 17:28:57,1
-4,12099981307983,7,0939998626709,7,97499990463257,38,05.11.2015 17:28:57,1
-4,77899980545044,7,79899978637695,6,90299987792969,39,05.11.2015 17:28:57,1
-0,418999999761581,5,98000001907349,6,31899976730347,40,05.11.2015 17:28:57,1
1,62999999523163,4,76900005340576,6,96500015258789,41,05.11.2015 17:28:57,1
1,44599997997284,4,58500003814697,9,09099960327148,42,05.11.2015 17:28:57,1
1,77199995517731,5,04400014877319,9,17099952697754,43,05.11.2015 17:28:57,1
1,02900004386902,5,19500017166138,8,6230001449585,44,05.11.2015 17:28:57,1
-1,76699995994568,5,93100023269653,8,1870002746582,45,05.11.2015 17:28:57,1
-4,73400020599365,7,39300012588501,7,42700004577637,46,05.11.2015 17:28:57,1
-3,14000010490417,7,21700000762939,6,1729998588562,47,05.11.2015 17:28:57,1
0,195999994874001,5,59899997711182,5,89799976348877,48,05.11.2015 17:28:57,1
1,34099996089935,4,86299991607666,7,25799989700317,49,05.11.2015 17:28:57,1
1,51300001144409,4,70599985122681,9,41699981689453,50,05.11.2015 17:28:58,1
1,21700000762939,5,18200016021729,9,85200023651123,51,05.11.2015 17:28:58,1
-0,379000008106232,5,6710000038147,10,3579998016357,52,05.11.2015 17:28:58,1
-3,16400003433228,6,65799999237061,9,00399971008301,53,05.11.2015 17:28:58,1
-3,1949999332428,7,0310001373291,7,62900018692017,54,05.11.2015 17:28:58,1
0,345999985933304,5,40899991989136,5,9520001411438,55,05.11.2015 17:28:58,1
1,53699994087219,4,94700002670288,5,04300022125244,56,05.11.2015 17:28:58,1
1,17799997329712,4,89499998092651,5,97900009155273,57,05.11.2015 17:28:58,1
1,192999958992,4,71999979019165,8,84099960327148,58,05.11.2015 17:28:58,1
-0,600000023841858,6,01599979400635,10,0600004196167,59,05.11.2015 17:28:58,1
-3,33899998664856,7,28999996185303,10,4090003967285,60,05.11.2015 17:28:58,1
-3,1800000667572,6,83500003814697,9,69099998474121,61,05.11.2015 17:28:58,1
0,264999985694885,5,36999988555908,7,16900014877319,62,05.11.2015 17:28:58,1
1,55900001525879,4,7350001335144,5,17999982833862,63,05.11.2015 17:28:58,1
2,00300002098084,4,45900011062622,6,10500001907349,64,05.11.2015 17:28:58,1
1,86600005626678,4,6230001449585,7,99200010299683,65,05.11.2015 17:28:58,1
